Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,9184,Cafe/Restaurant,Brunels Buttery,Brunels Buttery Princes Wharf Harbourside Bristol BS1 4RN,,Wapping Railway Wharf,Bristol,BS1 6UD,Hotwells & Harbourside,358540.0,172256.0,Freehold,,Land and Building(s),0.0,0.0015,,Investment Properties,G,2200.0,,"2010, 2013, 2015, 2016, 2017, 2018, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,13291,House/Houses,Brislington School House,Brislington School House 210 Hungerford Road Brislington Bristol BS4 5ET,10.0,Green Close,Bristol,BS7 0NL,Brislington West,362583.0,169917.0,Freehold,,Land and Building(s),,0.032524,Yes,Direct Service,,,,"2010, 2016, 2021, 2022, 2025",,
"Bristol, City of",7/1/2022,13397,Telecommunications Aerials/Masts,Smoke Lane - Telecommunications Base Station,Smoke Lane - Telecommunications Base Station Smoke Lane Avonmouth Bristol BS11,,Smoke Lane,Bristol,BS11 0YA,Avonmouth & Lawrence Weston,353019.0,181096.0,Freehold,,Land only,,0.028241,,Investment Properties,,,,"2012, 2015, 2016, 2021, 2022, 2024",,
"Bristol, City of",7/1/2022,8954,Land-Car/Lorry Park,Little Paradise Public Car Park,Little Paradise Public Car Park Little Paradise Bedminster Bristol BS3 4EX,,Little Paradise,Bristol,BS3 4DY,Southville,358539.0,171496.0,Freehold,,Land only,,0.168656,Yes,Direct Service,,,,"2012, 2016, 2018, 2019, 2021",,
"Bristol, City of",7/1/2022,8597,Store/Depot/Warehouse,Sea Mills Depot,Sea Mills Depot Sea Mills Lane Sea Mills Bristol BS9 1DP,,Sea Mills Lane,Bristol,BS9 1DP,Stoke Bishop,355400.0,176180.0,Freehold,,Land and Building(s),1534.2,0.8177,Yes,Direct Service,F,2000.0,,"2014, 2016, 2017, 2021, 2023",415294.66,
"Bristol, City of",7/1/2022,8608,Land-Public Park,Gaunts Ham Park,Gaunts Ham Park Chancery Street Barton Hill Bristol,,Chancery Street,Bristol,BS5 0BD,Lawrence Hill,360683.0,173246.0,Freehold,,Land only,,0.6745,Yes,Community,,,,"2013, 2016, 2021, 2022, 2024",,
"Bristol, City of",7/1/2022,8609,Land-Public Park,Gaunts Ham Park - Extension,Gaunts Ham Park - Extension Lincoln Street Barton Hill Bristol,,Chancery Street,Bristol,BS5 0BD,Lawrence Hill,360683.0,173246.0,Freehold,,Land only,,0.334151,Yes,Community,,,,"2013, 2014, 2016, 2017, 2021, 2024",,
"Bristol, City of",7/1/2022,8021,Sports Building/Hall/Facility,Greville Smyth Park - Sports Facility,Greville Smyth Park - Sports Facility Greville Smyth Park Ashton Road Bristol,,Ashton Road,Bristol,BS3 2EQ,Southville,357049.0,171737.0,Freehold,,Land and Building(s),206.0,0.379926,Yes,Direct Service,G,2200.0,,"2016, 2020, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,9185,Shop/Kiosk,The Bristol Packet,The Bristol Packet Wapping Wharf Gasferry Road Bristol BS1 6UN,,Gas Ferry Road,Bristol,BS1 6UN,Hotwells & Harbourside,357942.0,172330.0,Freehold,,Land and Building(s),13.9,0.003648,,Investment Properties,G,2200.0,,"2016, 2018, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,9194,Shop/Kiosk,Unit 1 Waring House,Unit 1 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,Redcliff Hill,Bristol,BS1 6TB,Central,359001.0,172158.0,Freehold,,Land and Building(s),122.03,0.0143,,Investment Properties,F,2000.0,,"2012, 2014, 2016, 2020, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9195,Shop/Kiosk,Units 2  And 3 Waring House,Units 2  And 3 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,Redcliff Hill,Bristol,BS1 6TB,Central,359002.0,172152.0,Freehold,,Land and Building(s),80.0,0.021375,,Investment Properties,F,2000.0,,"2010, 2016, 2017, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,9198,Shop/Kiosk,Unit 5 Waring House,Unit 5 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,Redcliff Hill,Bristol,BS1 6TB,Central,358994.0,172138.0,Freehold,,Land and Building(s),79.75,0.0112,,Investment Properties,F,2000.0,,"2011, 2016, 2019, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,9199,Shop/Kiosk,Unit 6 Waring House,Unit 6 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,Redcliff Hill,Bristol,BS1 6TB,Central,358993.0,172131.0,Freehold,,Land and Building(s),97.26,0.0112,,Investment Properties,F,2000.0,,"2013, 2016, 2018, 2019, 2020, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9200,Shop/Kiosk,Unit 10 Waring House,Unit 10 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,Redcliff Hill,Bristol,BS1 6TB,Central,358983.0,172111.0,Freehold,,Land and Building(s),126.78,0.0112,,Investment Properties,E,1800.0,,"2011, 2016, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,9201,Shop/Kiosk,Unit 7 Waring House,Unit 7 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,Redcliff Hill,Bristol,BS1 6TB,Central,358991.0,172127.0,Freehold,,Land and Building(s),97.26,0.0107,,Investment Properties,E,1800.0,,"2013, 2014, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,9202,Shop/Kiosk,Unit 8 Waring House,Unit 8 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,,,BS1 6TB,Central,358988.0,172122.0,Freehold,,Land and Building(s),102.2,0.011,,Investment Properties,G,2200.0,,"2011, 2016, 2017, 2019, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9203,Shop/Kiosk,Unit 9 Waring House,Unit 9 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,,,BS1 6TB,Central,358988.0,172122.0,Freehold,,Land and Building(s),102.34,0.0102,,Investment Properties,F,2000.0,,"2014, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,9204,Shop/Kiosk,Unit 11 Waring House,Unit 11 Waring House Redcliff Hill Redcliff Bristol BS1 6TB,,Redcliff Hill,Bristol,BS1 6TB,Central,358981.0,172107.0,Freehold,,Land and Building(s),101.94,0.0122,,Investment Properties,G,2200.0,,"2015, 2016, 2017, 2020, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,6698,Petrol Station/Garage-Commercial,Southville Service Station,Southville Service Station Coronation Road Southville Bristol BS3 1RN,,Coronation Road,Bristol,BS3 1RN,Southville,357383.0,172023.0,Freehold,,Land and Building(s),,0.263113,,Investment Properties,,,,"2012, 2014, 2015, 2016, 2020, 2021",,
"Bristol, City of",7/1/2022,10314,Store/Depot/Warehouse,Mead Street / York Road - Premises At,Mead Street / York Road - Premises At Bedminster Bristol BS4 3DZ,,Mead Street,Bristol,BS4 3DZ,Southville,359550.0,172043.0,Freehold,,Land and Building(s),,0.22219,,Investment Properties,,,,"2011, 2013, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,10393,House/Houses,Ashton Court - Keepers Cottage,Ashton Court - Keepers Cottage Rownham Hill Long Ashton North Somerset BS41 9JJ,,,,BS41 9JJ,Outside Bristol,355298.0,172018.0,Freehold,,Land and Building(s),231.0,0.1782,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2010, 2013, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,10394,House Service Occupancy,Ashton Court - Kennel Lodge,Ashton Court - Kennel Lodge Kennel Lodge Road Bower Ashton Bristol BS3 2JT,,Kennel Lodge Road,Bristol,BS3 2JT,Bedminster,356305.0,171807.0,Freehold,,Land and Building(s),81.0,0.034637,Yes,Direct Service,E,1800.0,,"2012, 2013, 2015, 2016, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,10400,Store/Depot/Warehouse,Bower Ashton Depot,Bower Ashton Depot Kennel Lodge Road Bower Ashton Bristol BS3 2JT,,Kennel Lodge Road,Bristol,BS3 2JT,Bedminster,356134.0,171664.0,Freehold,,Land and Building(s),2084.4,0.2666,Yes,Direct Service,E,1800.0,,"2016, 2017, 2021, 2022, 2023",599087.42,
"Bristol, City of",7/1/2022,10403,House Service Occupancy,Ashton Court - 1 Park Farm,Ashton Court - 1 Park Farm Parklands Road Bower Ashton Bristol BS3 2JP,,Parklands Road,Bristol,BS3 2JP,Bedminster,356206.0,171635.0,Freehold,,Land and Building(s),174.0,0.031541,Yes,Direct Service,G,2200.0,,"2012, 2016, 2018, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,9886,Shop/Kiosk,3 Marshall Walk,3 Marshall Walk Knowle Bristol BS4 1TR,3.0,Marshall Walk,Bristol,BS4 1TR,Filwood,358715.0,169185.0,Freehold,,Land and Building(s),133.6,0.007363,,Investment Properties,G,2200.0,,"2010, 2011, 2016, 2017, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,9887,Shop/Kiosk,5 Marshall Walk,5 Marshall Walk Knowle Bristol BS4 1TR,,,,BS4 ,Filwood,358708.0,169189.0,Freehold,Vacant,Land and Building(s),138.28,0.0148,,Investment Properties,E,1800.0,,"2010, 2013, 2016, 2017, 2021, 2022, 2023",291200.0,
"Bristol, City of",7/1/2022,9888,Shop/Kiosk,7 Marshall Walk,7 Marshall Walk Knowle Bristol BS4 1TR,,,,BS4 ,Filwood,358695.0,169189.0,Freehold,Vacant,Land and Building(s),129.6,0.0144,,Investment Properties,E,1800.0,,"2016, 2017, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9890,Shop/Kiosk,9-11 Marshall Walk,9-11 Marshall Walk Knowle Bristol BS4 1TR,11.0,Marshall Walk,Bristol,BS4 1TR,Filwood,358687.0,169189.0,Freehold,,Land and Building(s),267.4,0.031469,,Investment Properties,G,2200.0,,"2016, 2017, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,132095,Land-Car/Lorry Park,Horizon House - Car Parking Spaces At,Horizon House - Car Parking Spaces At Deanery Road Bristol BS1 5AH,,Deanery Road,Bristol,BS1 5AH,Hotwells & Harbourside,358205.0,172708.0,Leasehold,,Land and Building(s),,0.393783,Yes,Direct Service,,,,"2013, 2014, 2016, 2019, 2021, 2025",,
"Bristol, City of",7/1/2022,7158,Land-Amenity,East Street - Land Adjoining Former Public Conveniences,East Street - Land Adjoining Former Public Conveniences East Street Bedminster Bristol,,East Street,Bristol,BS3 4ZZ,Bedminster,358323.0,171424.0,Freehold,,Land only,,0.02252,Yes,Direct Service,,,,"2011, 2016, 2019, 2021, 2022, 2023, 2024",,
"Bristol, City of",7/1/2022,6466,Store/Depot/Warehouse,Severn Shed And Land Adjoining,Severn Shed And Land Adjoining The Grove City Centre Bristol BS1 4RB,,The Grove,Bristol,BS1 4RB,Central,358888.0,172412.0,Freehold,,Land and Building(s),410.0,0.10731,,Investment Properties,F,2000.0,,"2013, 2015, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,6468,Land-Car/Lorry Park,Former Arnolfini Car Park,Former Arnolfini Car Park The Grove City Centre Bristol,,The Grove,Bristol,BS1 4RB,Central,358788.0,172412.0,Freehold,,Land only,,0.052211,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2016, 2020, 2021",,
"Bristol, City of",7/1/2022,10450,Offices,Wool Hall,Wool Hall 12 St Thomas Street Redcliff Bristol BS1 6JJ,12.0,St Thomas Street,Bristol,BS1 6JJ,Central,359137.0,172752.0,Freehold,,Land and Building(s),1057.61,0.044,,Investment Properties,B,1200.0,"Modern Kitchen, Meeting Rooms","2013, 2016, 2018, 2019, 2021, 2023",389466.88,
"Bristol, City of",7/1/2022,8453,Petrol Station/Garage-Commercial,Units 1-2 Russell Town Avenue ,Units 1-2 Russell Town Avenue  Russell Town Avenue  Redfield Bristol BS5 9LU,,Russell Town Avenue,Bristol,BS5 9LT,Easton,360968.0,173498.0,Freehold,,Land and Building(s),0.0,0.1906,,Investment Properties,G,2200.0,,"2011, 2016, 2017, 2019, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,115869,Library,Broadwalk Shopping Centre - Knowle Library,Broadwalk Shopping Centre - Knowle Library 1st Floor Accommodation Broad Walk Bristol BS4 2QU,,Broad Walk,Bristol,BS4 2QU,Knowle,360612.0,170756.0,Leasehold,,Building(s) only,329.0,0.04312,Yes,Direct Service,G,2200.0,,"2012, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,8342,Museum,The Red Lodge,The Red Lodge Park Row Clifton Bristol BS1 5LJ,,Park Row,Bristol,BS1 5LJ,Central,358436.0,173112.0,Freehold,,Land and Building(s),761.0,0.127941,Yes,Direct Service,F,2000.0,,"2012, 2016, 2018, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,8344,Club/Cinema/Theatre,Red Lodge - The - Part Of,Red Lodge - The - Part Of Park Row Clifton Bristol BS1 5LJ,,Park Row,Bristol,BS1 5LJ,Central,358436.0,173112.0,Freehold,,Land and Building(s),,0.048555,,Investment Properties,,,,"2010, 2015, 2016, 2021",,
"Bristol, City of",7/1/2022,9278,Industrial/Workshop,York Street Nursery Units,York Street Nursery Units 1-4 York Street St Werburghs Bristol BS2 9XT,1.0,York Street,Bristol,BS2 9XT,Ashley,359994.0,174689.0,Freehold,,Land and Building(s),0.0,0.1925,,Investment Properties,B,1200.0,"Security System, Storage Space","2012, 2014, 2016, 2021, 2022, 2023, 2024",291200.0,
"Bristol, City of",7/1/2022,9270,Sports Building/Hall/Facility,Bristol Bowling Club,Bristol Bowling Club Duckmoor Road Ashton Bristol BS3 2BS,,Duckmoor Road,Bristol,BS3 2BS,Bedminster,357122.0,171412.0,Freehold,,Land only,0.0,0.329141,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2012, 2016, 2017, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9276,Offices,York House,York House Bond Street City Centre Bristol BS1 3LQ,,Bond Street,Bristol,BS1 3LQ,Ashley,359212.0,173580.0,Freehold,,Land and Building(s),0.0,0.208438,,Investment Properties,D,1600.0,"Meeting Rooms, Private Parking","2011, 2016, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,9277,Industrial/Workshop,2-8 York Street,2-8 York Street St Werburghs Bristol BS2 9XT,2.0,York Street,Bristol,BS2 9XT,Ashley,360064.0,174708.0,Freehold,,Land and Building(s),146.0,0.065126,,Investment Properties,A,1000.0,"Loading Dock, Storage Space","2012, 2013, 2014, 2016, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,6476,Cafe/Restaurant,Mud Dock Cafe And Cycle Works,Mud Dock Cafe And Cycle Works 40 The Grove City Centre Bristol BS1 4RB,40.0,The Grove,Bristol,BS1 4RB,Central,358712.0,172428.0,Freehold,,Land and Building(s),3600.0,0.047913,,Investment Properties,E,1800.0,,"2013, 2016, 2020, 2021, 2025",669401.19,
"Bristol, City of",7/1/2022,6478,Offices,Potstop - 42 The Grove,Potstop - 42 The Grove City Centre Bristol BS1 4RB,42.0,The Grove,Bristol,BS1 4RB,Central,358694.0,172432.0,Freehold,,Land and Building(s),42.4,0.0049,,Investment Properties,B,1200.0,"Private Parking, Meeting Rooms","2016, 2018, 2020, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,6479,Offices,44 The Grove,44 The Grove City Centre Bristol BS1 4RB,44.0,The Grove,Bristol,BS1 4RB,Central,358675.0,172433.0,Freehold,,Land and Building(s),56.3,0.0062,,Indirect Service / Non-Investment Letting(s),A,1000.0,"Modern Kitchen, Private Parking","2016, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,8836,Land-Car/Lorry Park,College Street Public Car Park,College Street Public Car Park College Street City Centre Bristol BS1 5UY,,College Street,Bristol,BS1 5UY,Hotwells & Harbourside,358192.0,172758.0,Freehold,,Land only,,0.410257,Yes,Direct Service,,,,"2016, 2017, 2018, 2021",,
"Bristol, City of",7/1/2022,7074,Store/Depot/Warehouse,1-5 St Gabriels Road,1-5 St Gabriels Road Easton Bristol BS5 0RT,,St Gabriels Road,Bristol,BS5 0RT,Lawrence Hill,360570.0,173849.0,Freehold,,Land only,399.3,0.043281,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2011, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,9005,Industrial/Workshop,9 Orange Street - Premises At,9 Orange Street - Premises At St Pauls Bristol BS2 9HG,9.0,Orange Street,Bristol,BS2 9HG,Ashley,359565.0,173671.0,Freehold,,Land and Building(s),,0.0,,Investment Properties,,,"Storage Space, Loading Dock","2013, 2016, 2017, 2021",,
"Bristol, City of",7/1/2022,9006,Offices,1-2 Orchard Court,1-2 Orchard Court Orchard Lane City Centre Bristol BS1 5DS,,Orchard Lane,Bristol,BS1 5DS,Central,358478.0,172908.0,Freehold Reversion,,Land and Building(s),0.0,0.189725,,Investment Properties,C,1400.0,"Meeting Rooms, Modern Kitchen","2011, 2016, 2021, 2023, 2024",291200.0,
"Bristol, City of",7/1/2022,8936,Offices,35-38 High Street,35-38 High Street City Centre Bristol BS1 2AW,35.0,High Street,Bristol,BS1 2AW,Central,358929.0,172974.0,Freehold,,Land and Building(s),,0.02976,,Investment Properties,,,"Modern Kitchen, Private Parking","2013, 2016, 2021, 2022, 2023",,
"Bristol, City of",7/1/2022,8937,Store/Depot/Warehouse,Market Gate,Market Gate First And Second Floors 35-38 High Street City Centre Bristol BS1 2AW,35.0,High Street,Bristol,BS1 ,Central,358929.0,172974.0,Freehold,Vacant,Land and Building(s),,0.02976,,Investment Properties,,,,"2015, 2016, 2020, 2021",,
"Bristol, City of",7/1/2022,8938,Public House,Rummer Public House - Part Of,Rummer Public House - Part Of 39-40 High Street City Centre Bristol BS1 2AT,39.0,High Street,Bristol,BS1 ,Central,358913.0,173002.0,Freehold,Vacant,Land and Building(s),630.84,0.0164,,Investment Properties,E,1800.0,,"2015, 2016, 2017, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,8941,Shop/Kiosk,49 High Street,49 High Street City Centre Bristol BS1 2AZ,49.0,High Street,Bristol,BS1 2AZ,Central,358891.0,173041.0,Freehold,,Land and Building(s),0.0,0.002328,,Investment Properties,G,2200.0,,"2012, 2016, 2017, 2019, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9458,Store/Depot/Warehouse,Unit 9 Albion Dockside Estate,Unit 9 Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6UT,,Hanover Place,Bristol,BS1 6UT,Hotwells & Harbourside,357695.0,172253.0,Freehold,,Land and Building(s),101.2,0.01822,,Investment Properties,F,2000.0,,"2016, 2020, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,9220,Offices,The Waterfront,The Waterfront Welsh Back City Centre Bristol BS1 4SB,,Welsh Back,Bristol,BS1 4SB,Central,358924.0,172595.0,Freehold,,Land and Building(s),0.0,0.073515,,Investment Properties,A,1000.0,"Modern Kitchen, Meeting Rooms","2014, 2016, 2017, 2019, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9222,Cafe/Restaurant,The Granary,The Granary 51 Queen Charlotte Street City Centre Bristol BS1 4HQ,51.0,Queen Charlotte Street,Bristol,BS1 4SB,Central,358885.0,172672.0,Freehold Reversion,,Land and Building(s),,0.03875,,Investment Properties,,,,"2010, 2011, 2012, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,8947,Community Centre/Facilities,Easton Community Centre,Easton Community Centre Kilburn Street Easton Bristol BS5 6AW,,Kilburn Street,Bristol,BS5 6AW,Easton,361003.0,173795.0,Freehold,,Land and Building(s),1060.73,0.084555,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2012, 2016, 2018, 2021",381207.07,
"Bristol, City of",7/1/2022,8307,Shop/Kiosk,107 St Georges Road,107 St Georges Road City Centre Bristol BS1 5UW,107.0,St Georges Road,Bristol,BS1 5UW,Hotwells & Harbourside,357952.0,172625.0,Freehold,,Land and Building(s),111.1,0.0131,,Investment Properties,G,2200.0,,"2010, 2014, 2016, 2020, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,8308,Shop/Kiosk,109 St Georges Road,109 St Georges Road City Centre Bristol BS1 5UW,109.0,St Georges Road,Bristol,BS1 5UW,Hotwells & Harbourside,357946.0,172625.0,Freehold,,Land and Building(s),122.3,0.0133,,Investment Properties,F,2000.0,,"2015, 2016, 2017, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,8309,Shop/Kiosk,111-115 St Georges Road,111-115 St Georges Road City Centre Bristol BS1 5UW,111.0,St Georges Road,Bristol,BS1 5UW,Hotwells & Harbourside,357937.0,172627.0,Freehold,,Land and Building(s),0.0,0.0285,,Investment Properties,G,2200.0,,"2012, 2016, 2017, 2018, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,10295,Store/Depot/Warehouse,26 Vale Lane,26 Vale Lane Vale Lane Trading Estate Bedminster Bristol BS3 5SA,,Vale Lane,Bristol,BS3 5SA,Bishopsworth,357973.0,169899.0,Freehold,,Land and Building(s),16500.0,0.499753,,Investment Properties,G,2200.0,,"2014, 2016, 2017, 2018, 2021, 2025",7752439.68,
"Bristol, City of",7/1/2022,10296,Store/Depot/Warehouse,28 Vale Lane,28 Vale Lane Bristol BS3 5RU,28.0,Vale Lane,Bristol,BS3 5RU,Bishopsworth,357989.0,169857.0,Freehold,,Land and Building(s),1500.0,0.36789,,Investment Properties,G,2200.0,,"2011, 2016, 2020, 2021",714676.98,
"Bristol, City of",7/1/2022,10297,Store/Depot/Warehouse,30 Vale Lane,30 Vale Lane Bedminster Bristol BS3 5RU,30.0,Vale Lane,Bristol,BS3 5RU,Bishopsworth,357956.0,169822.0,Freehold,,Land and Building(s),,0.472194,,Investment Properties,,,,"2016, 2017, 2018, 2021, 2023, 2024",,
"Bristol, City of",7/1/2022,10298,Land-Open Store/Yard,Vale Lane - Builders Yard At,Vale Lane - Builders Yard At 14 Vale Lane Bedminster Bristol BS3 5RU,,Vale Lane,Bristol,BS3 5RU,Bishopsworth,357891.0,169999.0,Freehold,,Land only,,0.650956,,Investment Properties,,,,"2012, 2016, 2021, 2022",,
"Bristol, City of",7/1/2022,10301,Store/Depot/Warehouse,77 Hartcliffe Way,77 Hartcliffe Way Bedminster Bristol BS3 5SB,,,,BS3 5SB,Filwood,358184.0,169923.0,Freehold,,Land and Building(s),2300.0,1.184537,,Investment Properties,E,1800.0,,"2014, 2015, 2016, 2017, 2019, 2021, 2022",390623.33,
"Bristol, City of",7/1/2022,10302,Petrol Station/Garage-Commercial,Hartcliffe Way - Garage At,Hartcliffe Way - Garage At Hartcliffe Way Bedminster Bristol BS3 5RH,,Hartcliffe Way,Bristol,BS3 5RH,Bishopsworth,358051.0,170161.0,Freehold,,Land and Building(s),140.0,0.1233,,Investment Properties,G,2200.0,,"2010, 2014, 2016, 2020, 2021, 2024",291200.0,
